,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
207,sao filipe,0,CV,1557066434,82,14.9,-24.5,71.47,22.44
208,ahipara,100,NZ,1557066417,100,-35.17,173.16,55.0,11.97
209,kolyvan,0,RU,1557064800,25,55.31,82.74,64.4,4.47
210,ampanihy,0,MG,1557066434,84,-24.69,44.75,73.63,9.55
211,ambon,0,FR,1557066426,41,47.55,-2.56,57.2,11.41
212,naze,75,NG,1557064800,63,5.43,7.07,91.4,4.7
213,santa isabel do rio negro,94,BR,1557066403,84,-0.41,-65.02,83.17,3.49
214,janja,90,BA,1557064800,93,44.67,19.24,50.0,8.05
215,cabo san lucas,40,MX,1557065730,34,22.89,-109.91,72.0,9.28
216,riom,75,FR,1557066425,52,45.89,3.11,50.0,14.99
217,samarai,100,PG,1557066435,89,-10.62,150.67,73.99,3.06
218,hobyo,29,SO,1557066435,71,5.35,48.53,85.33,13.09
219,bad worishofen,75,DE,1557066425,80,48.02,10.6,48.0,13.87
220,zhigansk,4,RU,1557066435,84,66.77,123.37,15.85,10.98
221,nuuk,100,GL,1557066161,50,64.17,-51.74,53.6,12.75
222,hithadhoo,0,MV,1557066436,69,-0.6,73.08,84.79,0.83
223,semey,0,KZ,1557066436,36,50.41,80.25,61.21,7.45
224,kaitangata,99,NZ,1557066432,89,-46.28,169.85,54.0,4.0
225,jalu,100,LY,1557066436,26,29.03,21.55,89.29,21.27
226,dangriga,75,BZ,1557065811,88,16.97,-88.23,84.0,6.93
227,poum,75,MK,1557064800,71,41.28,20.71,55.4,3.36
228,tuatapere,100,NZ,1557066006,97,-46.13,167.69,48.0,15.17
229,alofi,25,NU,1557064800,100,-19.06,-169.92,75.2,5.82
230,ban dung,20,TH,1557064800,70,17.7,103.25,84.2,6.93
231,eyl,6,SO,1557066486,62,7.98,49.82,86.59,16.89
232,djambala,95,CG,1557066486,59,-2.55,14.76,85.87,1.61
233,loa janan,54,ID,1557066486,97,-0.58,117.09,76.15,1.68
234,pevek,0,RU,1557066486,94,69.7,170.27,10.45,6.2
235,kangaatsiaq,96,GL,1557066487,54,68.31,-53.46,44.83,12.59
236,marrakesh,20,MA,1557064800,30,31.63,-7.99,86.0,4.7
